config_id,arch_id,wing_place,tail_type,wingtip,prop_layout,engines,gear,fam_name,AR,taper,dihedral_deg,twist_root_deg,twist_tip_deg,airfoil,arch_score,climb_ok,cruise_ok,LD_cruise
arch-low-conv-raked-tractor-1eng-fixed__wingA_AR8.5_tap0.5_dih10_tw2_-1_ag13,arch-low-conv-raked-tractor-1eng-fixed,low,conv,raked,tractor,1,fixed,wingA,8.5,0.5,10,2,-1,ag13,0.1036576136277995,,,
arch-low-conv-raked-tractor-1eng-fixed__wingA_AR8.5_tap0.5_dih5_tw2_-1_ag13,arch-low-conv-raked-tractor-1eng-fixed,low,conv,raked,tractor,1,fixed,wingA,8.5,0.5,5,2,-1,ag13,0.1036576136277995,,,
arch-low-conv-raked-tractor-1eng-fixed__wingA_AR8.5_tap0.7_dih10_tw2_-1_ag13,arch-low-conv-raked-tractor-1eng-fixed,low,conv,raked,tractor,1,fixed,wingA,8.5,0.7,10,2,-1,ag13,0.1036576136277995,,,
arch-low-conv-raked-tractor-1eng-fixed__wingA_AR8.5_tap0.7_dih5_tw2_-1_ag13,arch-low-conv-raked-tractor-1eng-fixed,low,conv,raked,tractor,1,fixed,wingA,8.5,0.7,5,2,-1,ag13,0.1036576136277995,,,
arch-low-conv-raked-tractor-1eng-fixed__wingA_AR9.5_tap0.5_dih10_tw3_-2_ag13,arch-low-conv-raked-tractor-1eng-fixed,low,conv,raked,tractor,1,fixed,wingA,9.5,0.5,10,3,-2,ag13,0.1036576136277995,,,
arch-low-conv-raked-tractor-1eng-fixed__wingA_AR9.5_tap0.5_dih5_tw3_-2_ag13,arch-low-conv-raked-tractor-1eng-fixed,low,conv,raked,tractor,1,fixed,wingA,9.5,0.5,5,3,-2,ag13,0.1036576136277995,,,
arch-low-conv-raked-tractor-1eng-fixed__wingA_AR9.5_tap0.7_dih10_tw3_-2_ag13,arch-low-conv-raked-tractor-1eng-fixed,low,conv,raked,tractor,1,fixed,wingA,9.5,0.7,10,3,-2,ag13,0.1036576136277995,,,
arch-low-conv-raked-tractor-1eng-fixed__wingA_AR9.5_tap0.7_dih5_tw3_-2_ag13,arch-low-conv-raked-tractor-1eng-fixed,low,conv,raked,tractor,1,fixed,wingA,9.5,0.7,5,3,-2,ag13,0.1036576136277995,,,
arch-low-conv-raked-tractor-1eng-fixed__wingB_AR7.5_tap0.55_dih10_tw2_-2_naca4412,arch-low-conv-raked-tractor-1eng-fixed,low,conv,raked,tractor,1,fixed,wingB,7.5,0.55,10,2,-2,naca4412,0.1036576136277995,,,
arch-low-conv-raked-tractor-1eng-fixed__wingB_AR7.5_tap0.55_dih5_tw2_-2_naca4412,arch-low-conv-raked-tractor-1eng-fixed,low,conv,raked,tractor,1,fixed,wingB,7.5,0.55,5,2,-2,naca4412,0.1036576136277995,,,
arch-low-conv-raked-tractor-1eng-fixed__wingB_AR8.5_tap0.6_dih10_tw3_-1_sg6043,arch-low-conv-raked-tractor-1eng-fixed,low,conv,raked,tractor,1,fixed,wingB,8.5,0.6,10,3,-1,sg6043,0.1036576136277995,,,
arch-low-conv-raked-tractor-1eng-fixed__wingB_AR8.5_tap0.6_dih5_tw3_-1_sg6043,arch-low-conv-raked-tractor-1eng-fixed,low,conv,raked,tractor,1,fixed,wingB,8.5,0.6,5,3,-1,sg6043,0.1036576136277995,,,
arch-mid-conv-raked-tractor-1eng-fixed__wingA_AR8.5_tap0.5_dih10_tw2_-1_ag13,arch-mid-conv-raked-tractor-1eng-fixed,mid,conv,raked,tractor,1,fixed,wingA,8.5,0.5,10,2,-1,ag13,0.1038494821547337,,,
arch-mid-conv-raked-tractor-1eng-fixed__wingA_AR8.5_tap0.5_dih5_tw2_-1_ag13,arch-mid-conv-raked-tractor-1eng-fixed,mid,conv,raked,tractor,1,fixed,wingA,8.5,0.5,5,2,-1,ag13,0.1038494821547337,,,
arch-mid-conv-raked-tractor-1eng-fixed__wingA_AR8.5_tap0.7_dih10_tw2_-1_ag13,arch-mid-conv-raked-tractor-1eng-fixed,mid,conv,raked,tractor,1,fixed,wingA,8.5,0.7,10,2,-1,ag13,0.1038494821547337,,,
arch-mid-conv-raked-tractor-1eng-fixed__wingA_AR8.5_tap0.7_dih5_tw2_-1_ag13,arch-mid-conv-raked-tractor-1eng-fixed,mid,conv,raked,tractor,1,fixed,wingA,8.5,0.7,5,2,-1,ag13,0.1038494821547337,,,
arch-mid-conv-raked-tractor-1eng-fixed__wingA_AR9.5_tap0.5_dih10_tw3_-2_ag13,arch-mid-conv-raked-tractor-1eng-fixed,mid,conv,raked,tractor,1,fixed,wingA,9.5,0.5,10,3,-2,ag13,0.1038494821547337,,,
arch-mid-conv-raked-tractor-1eng-fixed__wingA_AR9.5_tap0.5_dih5_tw3_-2_ag13,arch-mid-conv-raked-tractor-1eng-fixed,mid,conv,raked,tractor,1,fixed,wingA,9.5,0.5,5,3,-2,ag13,0.1038494821547337,,,
arch-mid-conv-raked-tractor-1eng-fixed__wingA_AR9.5_tap0.7_dih10_tw3_-2_ag13,arch-mid-conv-raked-tractor-1eng-fixed,mid,conv,raked,tractor,1,fixed,wingA,9.5,0.7,10,3,-2,ag13,0.1038494821547337,,,
arch-mid-conv-raked-tractor-1eng-fixed__wingA_AR9.5_tap0.7_dih5_tw3_-2_ag13,arch-mid-conv-raked-tractor-1eng-fixed,mid,conv,raked,tractor,1,fixed,wingA,9.5,0.7,5,3,-2,ag13,0.1038494821547337,,,
arch-mid-conv-raked-tractor-1eng-fixed__wingB_AR7.5_tap0.55_dih10_tw2_-2_naca4412,arch-mid-conv-raked-tractor-1eng-fixed,mid,conv,raked,tractor,1,fixed,wingB,7.5,0.55,10,2,-2,naca4412,0.1038494821547337,,,
arch-mid-conv-raked-tractor-1eng-fixed__wingB_AR7.5_tap0.55_dih5_tw2_-2_naca4412,arch-mid-conv-raked-tractor-1eng-fixed,mid,conv,raked,tractor,1,fixed,wingB,7.5,0.55,5,2,-2,naca4412,0.1038494821547337,,,
arch-mid-conv-raked-tractor-1eng-fixed__wingB_AR8.5_tap0.6_dih10_tw3_-1_sg6043,arch-mid-conv-raked-tractor-1eng-fixed,mid,conv,raked,tractor,1,fixed,wingB,8.5,0.6,10,3,-1,sg6043,0.1038494821547337,,,
arch-mid-conv-raked-tractor-1eng-fixed__wingB_AR8.5_tap0.6_dih5_tw3_-1_sg6043,arch-mid-conv-raked-tractor-1eng-fixed,mid,conv,raked,tractor,1,fixed,wingB,8.5,0.6,5,3,-1,sg6043,0.1038494821547337,,,
arch-low-conv-none-tractor-1eng-fixed__wingA_AR8.5_tap0.5_dih10_tw2_-1_ag13,arch-low-conv-none-tractor-1eng-fixed,low,conv,none,tractor,1,fixed,wingA,8.5,0.5,10,2,-1,ag13,0.1044154943091895,,,
arch-low-conv-none-tractor-1eng-fixed__wingA_AR8.5_tap0.5_dih5_tw2_-1_ag13,arch-low-conv-none-tractor-1eng-fixed,low,conv,none,tractor,1,fixed,wingA,8.5,0.5,5,2,-1,ag13,0.1044154943091895,,,
arch-low-conv-none-tractor-1eng-fixed__wingA_AR8.5_tap0.7_dih10_tw2_-1_ag13,arch-low-conv-none-tractor-1eng-fixed,low,conv,none,tractor,1,fixed,wingA,8.5,0.7,10,2,-1,ag13,0.1044154943091895,,,
arch-low-conv-none-tractor-1eng-fixed__wingA_AR8.5_tap0.7_dih5_tw2_-1_ag13,arch-low-conv-none-tractor-1eng-fixed,low,conv,none,tractor,1,fixed,wingA,8.5,0.7,5,2,-1,ag13,0.1044154943091895,,,
arch-low-conv-none-tractor-1eng-fixed__wingA_AR9.5_tap0.5_dih10_tw3_-2_ag13,arch-low-conv-none-tractor-1eng-fixed,low,conv,none,tractor,1,fixed,wingA,9.5,0.5,10,3,-2,ag13,0.1044154943091895,,,
arch-low-conv-none-tractor-1eng-fixed__wingA_AR9.5_tap0.5_dih5_tw3_-2_ag13,arch-low-conv-none-tractor-1eng-fixed,low,conv,none,tractor,1,fixed,wingA,9.5,0.5,5,3,-2,ag13,0.1044154943091895,,,
arch-low-conv-none-tractor-1eng-fixed__wingA_AR9.5_tap0.7_dih10_tw3_-2_ag13,arch-low-conv-none-tractor-1eng-fixed,low,conv,none,tractor,1,fixed,wingA,9.5,0.7,10,3,-2,ag13,0.1044154943091895,,,
arch-low-conv-none-tractor-1eng-fixed__wingA_AR9.5_tap0.7_dih5_tw3_-2_ag13,arch-low-conv-none-tractor-1eng-fixed,low,conv,none,tractor,1,fixed,wingA,9.5,0.7,5,3,-2,ag13,0.1044154943091895,,,
arch-low-conv-none-tractor-1eng-fixed__wingB_AR7.5_tap0.55_dih10_tw2_-2_naca4412,arch-low-conv-none-tractor-1eng-fixed,low,conv,none,tractor,1,fixed,wingB,7.5,0.55,10,2,-2,naca4412,0.1044154943091895,,,
arch-low-conv-none-tractor-1eng-fixed__wingB_AR7.5_tap0.55_dih5_tw2_-2_naca4412,arch-low-conv-none-tractor-1eng-fixed,low,conv,none,tractor,1,fixed,wingB,7.5,0.55,5,2,-2,naca4412,0.1044154943091895,,,
arch-low-conv-none-tractor-1eng-fixed__wingB_AR8.5_tap0.6_dih10_tw3_-1_sg6043,arch-low-conv-none-tractor-1eng-fixed,low,conv,none,tractor,1,fixed,wingB,8.5,0.6,10,3,-1,sg6043,0.1044154943091895,,,
arch-low-conv-none-tractor-1eng-fixed__wingB_AR8.5_tap0.6_dih5_tw3_-1_sg6043,arch-low-conv-none-tractor-1eng-fixed,low,conv,none,tractor,1,fixed,wingB,8.5,0.6,5,3,-1,sg6043,0.1044154943091895,,,
arch-mid-conv-none-tractor-1eng-fixed__wingA_AR8.5_tap0.5_dih10_tw2_-1_ag13,arch-mid-conv-none-tractor-1eng-fixed,mid,conv,none,tractor,1,fixed,wingA,8.5,0.5,10,2,-1,ag13,0.1046169562624704,,,
arch-mid-conv-none-tractor-1eng-fixed__wingA_AR8.5_tap0.5_dih5_tw2_-1_ag13,arch-mid-conv-none-tractor-1eng-fixed,mid,conv,none,tractor,1,fixed,wingA,8.5,0.5,5,2,-1,ag13,0.1046169562624704,,,
arch-mid-conv-none-tractor-1eng-fixed__wingA_AR8.5_tap0.7_dih10_tw2_-1_ag13,arch-mid-conv-none-tractor-1eng-fixed,mid,conv,none,tractor,1,fixed,wingA,8.5,0.7,10,2,-1,ag13,0.1046169562624704,,,
arch-mid-conv-none-tractor-1eng-fixed__wingA_AR8.5_tap0.7_dih5_tw2_-1_ag13,arch-mid-conv-none-tractor-1eng-fixed,mid,conv,none,tractor,1,fixed,wingA,8.5,0.7,5,2,-1,ag13,0.1046169562624704,,,
arch-mid-conv-none-tractor-1eng-fixed__wingA_AR9.5_tap0.5_dih10_tw3_-2_ag13,arch-mid-conv-none-tractor-1eng-fixed,mid,conv,none,tractor,1,fixed,wingA,9.5,0.5,10,3,-2,ag13,0.1046169562624704,,,
arch-mid-conv-none-tractor-1eng-fixed__wingA_AR9.5_tap0.5_dih5_tw3_-2_ag13,arch-mid-conv-none-tractor-1eng-fixed,mid,conv,none,tractor,1,fixed,wingA,9.5,0.5,5,3,-2,ag13,0.1046169562624704,,,
arch-mid-conv-none-tractor-1eng-fixed__wingA_AR9.5_tap0.7_dih10_tw3_-2_ag13,arch-mid-conv-none-tractor-1eng-fixed,mid,conv,none,tractor,1,fixed,wingA,9.5,0.7,10,3,-2,ag13,0.1046169562624704,,,
arch-mid-conv-none-tractor-1eng-fixed__wingA_AR9.5_tap0.7_dih5_tw3_-2_ag13,arch-mid-conv-none-tractor-1eng-fixed,mid,conv,none,tractor,1,fixed,wingA,9.5,0.7,5,3,-2,ag13,0.1046169562624704,,,
arch-mid-conv-none-tractor-1eng-fixed__wingB_AR7.5_tap0.55_dih10_tw2_-2_naca4412,arch-mid-conv-none-tractor-1eng-fixed,mid,conv,none,tractor,1,fixed,wingB,7.5,0.55,10,2,-2,naca4412,0.1046169562624704,,,
arch-mid-conv-none-tractor-1eng-fixed__wingB_AR7.5_tap0.55_dih5_tw2_-2_naca4412,arch-mid-conv-none-tractor-1eng-fixed,mid,conv,none,tractor,1,fixed,wingB,7.5,0.55,5,2,-2,naca4412,0.1046169562624704,,,
arch-mid-conv-none-tractor-1eng-fixed__wingB_AR8.5_tap0.6_dih10_tw3_-1_sg6043,arch-mid-conv-none-tractor-1eng-fixed,mid,conv,none,tractor,1,fixed,wingB,8.5,0.6,10,3,-1,sg6043,0.1046169562624704,,,
arch-mid-conv-none-tractor-1eng-fixed__wingB_AR8.5_tap0.6_dih5_tw3_-1_sg6043,arch-mid-conv-none-tractor-1eng-fixed,mid,conv,none,tractor,1,fixed,wingB,8.5,0.6,5,3,-1,sg6043,0.1046169562624704,,,
arch-high-conv-raked-tractor-1eng-fixed__wingA_AR8.5_tap0.5_dih10_tw2_-1_ag13,arch-high-conv-raked-tractor-1eng-fixed,high,conv,raked,tractor,1,fixed,wingA,8.5,0.5,10,2,-1,ag13,0.1070462703874867,,,
arch-high-conv-raked-tractor-1eng-fixed__wingA_AR8.5_tap0.5_dih5_tw2_-1_ag13,arch-high-conv-raked-tractor-1eng-fixed,high,conv,raked,tractor,1,fixed,wingA,8.5,0.5,5,2,-1,ag13,0.1070462703874867,,,
arch-high-conv-raked-tractor-1eng-fixed__wingA_AR8.5_tap0.7_dih10_tw2_-1_ag13,arch-high-conv-raked-tractor-1eng-fixed,high,conv,raked,tractor,1,fixed,wingA,8.5,0.7,10,2,-1,ag13,0.1070462703874867,,,
arch-high-conv-raked-tractor-1eng-fixed__wingA_AR8.5_tap0.7_dih5_tw2_-1_ag13,arch-high-conv-raked-tractor-1eng-fixed,high,conv,raked,tractor,1,fixed,wingA,8.5,0.7,5,2,-1,ag13,0.1070462703874867,,,
arch-high-conv-raked-tractor-1eng-fixed__wingA_AR9.5_tap0.5_dih10_tw3_-2_ag13,arch-high-conv-raked-tractor-1eng-fixed,high,conv,raked,tractor,1,fixed,wingA,9.5,0.5,10,3,-2,ag13,0.1070462703874867,,,
arch-high-conv-raked-tractor-1eng-fixed__wingA_AR9.5_tap0.5_dih5_tw3_-2_ag13,arch-high-conv-raked-tractor-1eng-fixed,high,conv,raked,tractor,1,fixed,wingA,9.5,0.5,5,3,-2,ag13,0.1070462703874867,,,
arch-high-conv-raked-tractor-1eng-fixed__wingA_AR9.5_tap0.7_dih10_tw3_-2_ag13,arch-high-conv-raked-tractor-1eng-fixed,high,conv,raked,tractor,1,fixed,wingA,9.5,0.7,10,3,-2,ag13,0.1070462703874867,,,
arch-high-conv-raked-tractor-1eng-fixed__wingA_AR9.5_tap0.7_dih5_tw3_-2_ag13,arch-high-conv-raked-tractor-1eng-fixed,high,conv,raked,tractor,1,fixed,wingA,9.5,0.7,5,3,-2,ag13,0.1070462703874867,,,
arch-high-conv-raked-tractor-1eng-fixed__wingB_AR7.5_tap0.55_dih10_tw2_-2_naca4412,arch-high-conv-raked-tractor-1eng-fixed,high,conv,raked,tractor,1,fixed,wingB,7.5,0.55,10,2,-2,naca4412,0.1070462703874867,,,
arch-high-conv-raked-tractor-1eng-fixed__wingB_AR7.5_tap0.55_dih5_tw2_-2_naca4412,arch-high-conv-raked-tractor-1eng-fixed,high,conv,raked,tractor,1,fixed,wingB,7.5,0.55,5,2,-2,naca4412,0.1070462703874867,,,
arch-high-conv-raked-tractor-1eng-fixed__wingB_AR8.5_tap0.6_dih10_tw3_-1_sg6043,arch-high-conv-raked-tractor-1eng-fixed,high,conv,raked,tractor,1,fixed,wingB,8.5,0.6,10,3,-1,sg6043,0.1070462703874867,,,
arch-high-conv-raked-tractor-1eng-fixed__wingB_AR8.5_tap0.6_dih5_tw3_-1_sg6043,arch-high-conv-raked-tractor-1eng-fixed,high,conv,raked,tractor,1,fixed,wingB,8.5,0.6,5,3,-1,sg6043,0.1070462703874867,,,
arch-low-twinboom-raked-tractor-1eng-fixed__wingA_AR8.5_tap0.5_dih10_tw2_-1_ag13,arch-low-twinboom-raked-tractor-1eng-fixed,low,twinboom,raked,tractor,1,fixed,wingA,8.5,0.5,10,2,-1,ag13,0.1071826136277995,,,
arch-low-twinboom-raked-tractor-1eng-fixed__wingA_AR8.5_tap0.5_dih5_tw2_-1_ag13,arch-low-twinboom-raked-tractor-1eng-fixed,low,twinboom,raked,tractor,1,fixed,wingA,8.5,0.5,5,2,-1,ag13,0.1071826136277995,,,
arch-low-twinboom-raked-tractor-1eng-fixed__wingA_AR8.5_tap0.7_dih10_tw2_-1_ag13,arch-low-twinboom-raked-tractor-1eng-fixed,low,twinboom,raked,tractor,1,fixed,wingA,8.5,0.7,10,2,-1,ag13,0.1071826136277995,,,
arch-low-twinboom-raked-tractor-1eng-fixed__wingA_AR8.5_tap0.7_dih5_tw2_-1_ag13,arch-low-twinboom-raked-tractor-1eng-fixed,low,twinboom,raked,tractor,1,fixed,wingA,8.5,0.7,5,2,-1,ag13,0.1071826136277995,,,
arch-low-twinboom-raked-tractor-1eng-fixed__wingA_AR9.5_tap0.5_dih10_tw3_-2_ag13,arch-low-twinboom-raked-tractor-1eng-fixed,low,twinboom,raked,tractor,1,fixed,wingA,9.5,0.5,10,3,-2,ag13,0.1071826136277995,,,
arch-low-twinboom-raked-tractor-1eng-fixed__wingA_AR9.5_tap0.5_dih5_tw3_-2_ag13,arch-low-twinboom-raked-tractor-1eng-fixed,low,twinboom,raked,tractor,1,fixed,wingA,9.5,0.5,5,3,-2,ag13,0.1071826136277995,,,
arch-low-twinboom-raked-tractor-1eng-fixed__wingA_AR9.5_tap0.7_dih10_tw3_-2_ag13,arch-low-twinboom-raked-tractor-1eng-fixed,low,twinboom,raked,tractor,1,fixed,wingA,9.5,0.7,10,3,-2,ag13,0.1071826136277995,,,
arch-low-twinboom-raked-tractor-1eng-fixed__wingA_AR9.5_tap0.7_dih5_tw3_-2_ag13,arch-low-twinboom-raked-tractor-1eng-fixed,low,twinboom,raked,tractor,1,fixed,wingA,9.5,0.7,5,3,-2,ag13,0.1071826136277995,,,
arch-low-twinboom-raked-tractor-1eng-fixed__wingB_AR7.5_tap0.55_dih10_tw2_-2_naca4412,arch-low-twinboom-raked-tractor-1eng-fixed,low,twinboom,raked,tractor,1,fixed,wingB,7.5,0.55,10,2,-2,naca4412,0.1071826136277995,,,
arch-low-twinboom-raked-tractor-1eng-fixed__wingB_AR7.5_tap0.55_dih5_tw2_-2_naca4412,arch-low-twinboom-raked-tractor-1eng-fixed,low,twinboom,raked,tractor,1,fixed,wingB,7.5,0.55,5,2,-2,naca4412,0.1071826136277995,,,
arch-low-twinboom-raked-tractor-1eng-fixed__wingB_AR8.5_tap0.6_dih10_tw3_-1_sg6043,arch-low-twinboom-raked-tractor-1eng-fixed,low,twinboom,raked,tractor,1,fixed,wingB,8.5,0.6,10,3,-1,sg6043,0.1071826136277995,,,
arch-low-twinboom-raked-tractor-1eng-fixed__wingB_AR8.5_tap0.6_dih5_tw3_-1_sg6043,arch-low-twinboom-raked-tractor-1eng-fixed,low,twinboom,raked,tractor,1,fixed,wingB,8.5,0.6,5,3,-1,sg6043,0.1071826136277995,,,
arch-low-conv-winglet-tractor-1eng-fixed__wingA_AR8.5_tap0.5_dih10_tw2_-1_ag13,arch-low-conv-winglet-tractor-1eng-fixed,low,conv,winglet,tractor,1,fixed,wingA,8.5,0.5,10,2,-1,ag13,0.1072865688048051,,,
arch-low-conv-winglet-tractor-1eng-fixed__wingA_AR8.5_tap0.5_dih5_tw2_-1_ag13,arch-low-conv-winglet-tractor-1eng-fixed,low,conv,winglet,tractor,1,fixed,wingA,8.5,0.5,5,2,-1,ag13,0.1072865688048051,,,
arch-low-conv-winglet-tractor-1eng-fixed__wingA_AR8.5_tap0.7_dih10_tw2_-1_ag13,arch-low-conv-winglet-tractor-1eng-fixed,low,conv,winglet,tractor,1,fixed,wingA,8.5,0.7,10,2,-1,ag13,0.1072865688048051,,,
arch-low-conv-winglet-tractor-1eng-fixed__wingA_AR8.5_tap0.7_dih5_tw2_-1_ag13,arch-low-conv-winglet-tractor-1eng-fixed,low,conv,winglet,tractor,1,fixed,wingA,8.5,0.7,5,2,-1,ag13,0.1072865688048051,,,
arch-low-conv-winglet-tractor-1eng-fixed__wingA_AR9.5_tap0.5_dih10_tw3_-2_ag13,arch-low-conv-winglet-tractor-1eng-fixed,low,conv,winglet,tractor,1,fixed,wingA,9.5,0.5,10,3,-2,ag13,0.1072865688048051,,,
arch-low-conv-winglet-tractor-1eng-fixed__wingA_AR9.5_tap0.5_dih5_tw3_-2_ag13,arch-low-conv-winglet-tractor-1eng-fixed,low,conv,winglet,tractor,1,fixed,wingA,9.5,0.5,5,3,-2,ag13,0.1072865688048051,,,
arch-low-conv-winglet-tractor-1eng-fixed__wingA_AR9.5_tap0.7_dih10_tw3_-2_ag13,arch-low-conv-winglet-tractor-1eng-fixed,low,conv,winglet,tractor,1,fixed,wingA,9.5,0.7,10,3,-2,ag13,0.1072865688048051,,,
arch-low-conv-winglet-tractor-1eng-fixed__wingA_AR9.5_tap0.7_dih5_tw3_-2_ag13,arch-low-conv-winglet-tractor-1eng-fixed,low,conv,winglet,tractor,1,fixed,wingA,9.5,0.7,5,3,-2,ag13,0.1072865688048051,,,
arch-low-conv-winglet-tractor-1eng-fixed__wingB_AR7.5_tap0.55_dih10_tw2_-2_naca4412,arch-low-conv-winglet-tractor-1eng-fixed,low,conv,winglet,tractor,1,fixed,wingB,7.5,0.55,10,2,-2,naca4412,0.1072865688048051,,,
arch-low-conv-winglet-tractor-1eng-fixed__wingB_AR7.5_tap0.55_dih5_tw2_-2_naca4412,arch-low-conv-winglet-tractor-1eng-fixed,low,conv,winglet,tractor,1,fixed,wingB,7.5,0.55,5,2,-2,naca4412,0.1072865688048051,,,
arch-low-conv-winglet-tractor-1eng-fixed__wingB_AR8.5_tap0.6_dih10_tw3_-1_sg6043,arch-low-conv-winglet-tractor-1eng-fixed,low,conv,winglet,tractor,1,fixed,wingB,8.5,0.6,10,3,-1,sg6043,0.1072865688048051,,,
