config_id,tail_span_frac,tail_AR,boom_length_m,inc_deg,alpha_cruise_deg,alpha_climb_deg,Vh,L_over_W_cruise,L_over_W_climb,Cm_cruise,D_cruise,D_climb,score
wingA_AR8.5_tap0.5_dih10_tw2_-1_ag13,0.21999999702224185,3.919054706451674,0.2799999963633515,-4.543841983773869,0.3685458330136867,2.755173697251939,0.2999999903548689,0.949999999999968,0.9999999999999768,-0.005453404422829984,1.4606694971139143,1.2081172041946315,1.4606694971139143
wingA_AR8.5_tap0.5_dih5_tw2_-1_ag13,0.2199999970222066,3.9190547066399657,0.27999999636000356,-4.54225559531526,0.36269755796078784,2.722272232813555,0.2999999903377364,0.9500000000169054,0.9999999999941162,-0.006363657722744652,1.4560948885706688,1.2045638985632419,1.4560948885706688
wingA_AR8.5_tap0.7_dih10_tw2_-1_ag13,0.2199999970191824,4.003439433773561,0.27999999621619726,-4.838381547167202,0.5808974485271937,3.0052219687274233,0.3018181462567135,0.9499999999516671,0.9999999999719095,-0.004490494810125289,1.4652378727821682,1.214207287368955,1.4652378727821682
wingA_AR8.5_tap0.7_dih5_tw2_-1_ag13,0.2199999970191782,4.003169029439995,0.27999999621582317,-4.832712475385498,0.5722510846008331,2.9687796388273417,0.3018394247758298,0.9499999999494202,0.9999999999703343,-0.005286536672905391,1.4606412782184885,1.2106302004142027,1.4606412782184885
wingA_AR8.5_tap0.5_dih10_tw3_-2_ag13,0.21999999701118558,3.9190545925263045,0.279999996205553,-4.205727616988847,0.03195490774768957,2.422123425519707,0.2999999993418025,0.9499999999963836,0.9999999998984775,-0.004790102104322028,1.4607856727021975,1.2083820960113265,1.4607856727021975
wingA_AR8.5_tap0.5_dih5_tw3_-2_ag13,0.21999999702224468,3.9190547065482084,0.2799999963626635,-4.207761588232493,0.028945546331063072,2.3904461301927187,0.2999999903467506,0.950000000000003,0.9999999999999967,-0.006026999046082187,1.4561553958292826,1.2046840519206519,1.4561553958292826
wingA_AR8.5_tap0.7_dih10_tw3_-2_ag13,0.21999999701927678,4.003559846996084,0.27999999621923183,-4.66048700190874,0.4043515437931844,2.832537121148396,0.3018086717268527,0.9499999999735756,0.9999999999846646,-0.0041030816927236915,1.465353396080642,1.214508345712673,1.465353396080642
wingA_AR8.5_tap0.7_dih5_tw3_-2_ag13,0.21999999701928424,4.003223897138476,0.2799999962190805,-4.656252800392211,0.3964127088568271,2.7949897058045474,0.30183510691502385,0.9499999999731991,0.9999999999842862,-0.005086915811955058,1.4607009121497623,1.2107738973387465,1.4607009121497623
wingA_AR7.5_tap0.5_dih10_tw2_-1_ag13,0.2199999970387088,3.6733466489669704,0.34934506989880876,-4.616764407329646,0.3836515522880332,2.8747511202873453,0.2999999900993999,0.9500000005097965,0.9999999998550516,-0.006544705377152175,1.4758042247175474,1.2500700287183788,1.4758042247175474
wingA_AR7.5_tap0.5_dih5_tw2_-1_ag13,0.21999999703835063,3.672970907441686,0.3492839449278238,-4.6157413237959135,0.37738290242476746,2.839722886870846,0.29999999011538486,0.9500000000005334,0.9999999999998435,-0.007292584001215437,1.4713343014117153,1.2465474589605774,1.4713343014117153
wingA_AR7.5_tap0.7_dih10_tw2_-1_ag13,0.21999999703819836,3.6757762136418166,0.33373916568605216,-4.906094110352964,0.6006931593808578,3.1283804438241196,0.2999999901188304,0.9500000000000179,0.9999999999999942,-0.006954918805032255,1.4800323680522505,1.256538938448157,1.4800323680522505
wingA_AR7.5_tap0.7_dih5_tw2_-1_ag13,0.21999999703850603,3.6754462206623773,0.3336868129820177,-4.901088706142327,0.5915075017968608,3.08973634681424,0.29999999011901124,0.9500000000029913,0.9999999999996038,-0.007598563158363007,1.4755415859168906,1.2529863530459715,1.4755415859168906
